"location","indicator","Unit","Date","Value"
"Alabama","Cost of Living Index","Index, High=High cost of living","1960","9.727188"
"Alabama","Cost of Living Index","Index, High=High cost of living","1961","9.886265"
"Alabama","Cost of Living Index","Index, High=High cost of living","1962","10.2335"
"Alabama","Cost of Living Index","Index, High=High cost of living","1963","10.70138"
"Alabama","Cost of Living Index","Index, High=High cost of living","1964","11.19781"
"Alabama","Cost of Living Index","Index, High=High cost of living","1965","11.84796"
"Alabama","Cost of Living Index","Index, High=High cost of living","1966","12.60251"
"Alabama","Cost of Living Index","Index, High=High cost of living","1967","13.26933"
"Alabama","Cost of Living Index","Index, High=High cost of living","1968","14.39751"
"Alabama","Cost of Living Index","Index, High=High cost of living","1969","15.95764"
"Alabama","Cost of Living Index","Index, High=High cost of living","1970","17.31264"
"Alabama","Cost of Living Index","Index, High=High cost of living","1971","18.50302"
"Alabama","Cost of Living Index","Index, High=High cost of living","1972","19.65582"
"Alabama","Cost of Living Index","Index, High=High cost of living","1973","21.40854"
"Alabama","Cost of Living Index","Index, High=High cost of living","1974","23.95533"
"Alabama","Cost of Living Index","Index, High=High cost of living","1975","26.30865"
"Alabama","Cost of Living Index","Index, High=High cost of living","1976","28.22492"
"Alabama","Cost of Living Index","Index, High=High cost of living","1977","30.35719"
"Alabama","Cost of Living Index","Index, High=High cost of living","1978","32.94687"
"Alabama","Cost of Living Index","Index, High=High cost of living","1979","36.60559"
"Alabama","Cost of Living Index","Index, High=High cost of living","1980","41.04153"
"Alabama","Cost of Living Index","Index, High=High cost of living","1981","45.01128"
"Alabama","Cost of Living Index","Index, High=High cost of living","1982","47.57516"
"Alabama","Cost of Living Index","Index, High=High cost of living","1983","49.26975"
"Alabama","Cost of Living Index","Index, High=High cost of living","1984","51.12233"
"Alabama","Cost of Living Index","Index, High=High cost of living","1985","52.8923"
"Alabama","Cost of Living Index","Index, High=High cost of living","1986","54.0369"
"Alabama","Cost of Living Index","Index, High=High cost of living","1987","56.01946"
"Alabama","Cost of Living Index","Index, High=High cost of living","1988","58.24873"
"Alabama","Cost of Living Index","Index, High=High cost of living","1989","60.98448"
"Alabama","Cost of Living Index","Index, High=High cost of living","1990","63.8947"
"Alabama","Cost of Living Index","Index, High=High cost of living","1991","66.00455"
"Alabama","Cost of Living Index","Index, High=High cost of living","1992","67.98622"
"Alabama","Cost of Living Index","Index, High=High cost of living","1993","69.80473"
"Alabama","Cost of Living Index","Index, High=High cost of living","1994","71.70049"
"Alabama","Cost of Living Index","Index, High=High cost of living","1995","73.78285"
"Alabama","Cost of Living Index","Index, High=High cost of living","1996","76.0479"
"Alabama","Cost of Living Index","Index, High=High cost of living","1997","78.01664"
"Alabama","Cost of Living Index","Index, High=High cost of living","1998","79.37167"
"Alabama","Cost of Living Index","Index, High=High cost of living","1999","81.15123"
"Alabama","Cost of Living Index","Index, High=High cost of living","2000","84.28893"
"Alabama","Cost of Living Index","Index, High=High cost of living","2001","86.55305"
"Alabama","Cost of Living Index","Index, High=High cost of living","2002","88.17179"
"Alabama","Cost of Living Index","Index, High=High cost of living","2003","90.18374"
"Alabama","Cost of Living Index","Index, High=High cost of living","2016","91.2"
"Alabama","Cost of Living Index","Index, High=High cost of living","2017","90.3"
"Alabama","Cost of Living Index","Index, High=High cost of living","2019","89.2"
"Alabama","Cost of Living Index","Index, High=High cost of living","2020","89.2"
"Alabama","Cost of Living Index","Index, High=High cost of living","2021","87.9"
"Alabama","Cost of Living Index","Index, High=High cost of living","2022","88.1"
"Alabama","Cost of Living Index","Index, High=High cost of living","2023","88.3"
"Alabama","Cost of Living Index","Index, High=High cost of living","2017Q1","90.6"
"Alabama","Cost of Living Index","Index, High=High cost of living","2017Q2","90.7"
"Alabama","Cost of Living Index","Index, High=High cost of living","2017Q3","90.2"
"Alabama","Cost of Living Index","Index, High=High cost of living","2018Q1","88.8"
"Alabama","Cost of Living Index","Index, High=High cost of living","2019Q1","11"
"Alabama","Cost of Living Index","Index, High=High cost of living","2019Q2","89.2"
"Alabama","Cost of Living Index","Index, High=High cost of living","2019Q3","89"
"Alabama","Cost of Living Index","Index, High=High cost of living","2020Q1","89.6"
