Year,Avg_Cost_Index
1960,12.712633437500001
1961,12.878870874999999
1962,13.304917145833334
1963,13.541047291666667
1964,13.983088958333333
1965,14.677489791666666
1966,15.512218333333331
1967,16.295002083333333
1968,17.382964791666666
1969,18.840855625
1970,20.163441666666667
1971,21.385925625
1972,22.612383750000003
1973,24.519238125
1974,27.171231666666667
1975,29.6108625
1976,31.486041041666667
1977,34.000259375
1978,36.94898479166667
1979,40.99830020833333
1980,45.82968520833333
1981,50.16391333333333
1982,52.864549374999996
1983,54.53808458333333
1984,56.55834729166667
1985,58.47470520833334
1986,59.84921354166667
1987,62.13967666666667
1988,64.76534124999999
1989,67.90406583333333
1990,71.12665520833333
1991,73.36266020833334
1992,75.39801145833333
1993,77.30832979166667
1994,79.26823979166666
1995,81.4163075
1996,83.673921875
1997,85.52697291666668
1998,87.27656395833333
1999,89.46881979166666
2000,92.970203125
2001,95.64221500000001
2002,97.84465104166667
2003,100.51894104166666
2016,104.66666666666667
2017,105.62941176470589
2019,105.47307692307693
2020,105.62884615384615
2021,105.66078431372549
2022,104.8686274509804
2023,103.49607843137255
