Location,Date,Value
Alabama,1960,9.727188
Alabama,1961,9.886265
Alabama,1962,10.2335
Alabama,1963,10.70138
Alabama,1964,11.19781
Alabama,1965,11.84796
Alabama,1966,12.60251
Alabama,1967,13.26933
Alabama,1968,14.39751
Alabama,1969,15.95764
Alabama,1970,17.31264
Alabama,1971,18.50302
Alabama,1972,19.65582
Alabama,1973,21.40854
Alabama,1974,23.95533
Alabama,1975,26.30865
Alabama,1976,28.22492
Alabama,1977,30.35719
Alabama,1978,32.94687
Alabama,1979,36.60559
Alabama,1980,41.04153
Alabama,1981,45.01128
Alabama,1982,47.57516
Alabama,1983,49.26975
Alabama,1984,51.12233
Alabama,1985,52.8923
Alabama,1986,54.0369
Alabama,1987,56.01946
Alabama,1988,58.24873
Alabama,1989,60.98448
Alabama,1990,63.8947
Alabama,1991,66.00455
Alabama,1992,67.98622
Alabama,1993,69.80473
Alabama,1994,71.70049
Alabama,1995,73.78285
Alabama,1996,76.0479
Alabama,1997,78.01664
Alabama,1998,79.37167
Alabama,1999,81.15123
Alabama,2000,84.28893
Alabama,2001,86.55305
Alabama,2002,88.17179
Alabama,2003,90.18374
Alabama,2016,91.2
Alabama,2017,90.3
Alabama,2019,89.2
Alabama,2020,89.2
Alabama,2021,87.9
Alabama,2022,88.1
Alabama,2023,88.3
Alaska,2016,131.6
Alaska,2017,131.3
Alaska,2019,128.3
Alaska,2020,127.3
Alaska,2021,127.1
Alaska,2022,126.6
Alaska,2023,125.2
Arkansas,1960,9.729078
Arkansas,1961,10.25731
Arkansas,1962,10.58921
Arkansas,1963,11.09684
Arkansas,1964,11.61635
Arkansas,1965,12.16355
Arkansas,1966,12.99362
Arkansas,1967,13.60872
Arkansas,1968,14.8375
Arkansas,1969,16.20367
Arkansas,1970,17.54979
Arkansas,1971,18.75279
Arkansas,1972,19.9014
Arkansas,1973,21.87013
Arkansas,1974,24.3915
Arkansas,1975,26.56989
Arkansas,1976,28.43949
Arkansas,1977,30.58341
Arkansas,1978,33.29095
Arkansas,1979,36.83135
Arkansas,1980,41.12016
Arkansas,1981,45.15311
Arkansas,1982,47.62546
Arkansas,1983,49.23444
Arkansas,1984,51.11975
Arkansas,1985,52.85147
Arkansas,1986,53.88134
Arkansas,1987,55.69196
Arkansas,1988,57.87473
Arkansas,1989,60.47808
Arkansas,1990,63.29412
Arkansas,1991,65.42078
Arkansas,1992,67.43538
Arkansas,1993,69.20523
Arkansas,1994,71.02
Arkansas,1995,73.01923
Arkansas,1996,75.26538
Arkansas,1997,77.10783
Arkansas,1998,78.37458
Arkansas,1999,80.09604
Arkansas,2000,83.04192
Arkansas,2001,85.29109
Arkansas,2002,86.78195
Arkansas,2003,88.70616
Arkansas,2016,88.5
Arkansas,2017,87.8
Arkansas,2019,87.1
Arkansas,2020,88.1
Arkansas,2021,90.9
Arkansas,2022,90.6
Arkansas,2023,89.0
Arizona,1960,12.5092
Arizona,1961,12.62301
Arizona,1962,13.0518
Arizona,1963,13.22658
Arizona,1964,13.6414
Arizona,1965,14.13444
Arizona,1966,14.92982
Arizona,1967,15.68082
Arizona,1968,16.8114
Arizona,1969,18.30604
Arizona,1970,19.63099
Arizona,1971,20.78356
Arizona,1972,21.7965
Arizona,1973,23.40437
Arizona,1974,25.79478
Arizona,1975,27.91655
Arizona,1976,29.52202
Arizona,1977,32.42824
Arizona,1978,35.59452
Arizona,1979,39.68665
Arizona,1980,44.52519
Arizona,1981,48.55455
Arizona,1982,50.82706
Arizona,1983,52.38518
Arizona,1984,54.12309
Arizona,1985,55.76398
Arizona,1986,56.73304
Arizona,1987,58.47784
Arizona,1988,60.78718
Arizona,1989,63.55413
Arizona,1990,67.00041
Arizona,1991,69.29797
Arizona,1992,71.11115
Arizona,1993,72.9142
Arizona,1994,74.75923
Arizona,1995,76.73343
Arizona,1996,78.57844
Arizona,1997,80.10783
Arizona,1998,82.21519
Arizona,1999,84.7194
Arizona,2000,88.20074
Arizona,2001,91.10429
Arizona,2002,93.56774
Arizona,2003,96.44807
Arizona,2016,98.1
Arizona,2017,95.6
Arizona,2019,99.6
Arizona,2020,101.3
Arizona,2021,103.2
Arizona,2022,105.8
Arizona,2023,108.4
California,1960,11.71592
California,1961,11.96667
California,1962,12.38507
California,1963,12.60265
California,1964,13.14032
California,1965,13.64776
California,1966,14.42303
California,1967,15.21836
California,1968,16.22667
California,1969,17.69009
California,1970,18.84156
California,1971,19.97392
California,1972,21.13766
California,1973,22.88993
California,1974,25.56358
California,1975,28.07721
California,1976,29.70607
California,1977,33.31348
California,1978,36.88478
California,1979,41.40475
California,1980,46.62713
California,1981,51.98222
California,1982,54.95286
California,1983,57.06974
California,1984,58.7341
California,1985,60.28482
California,1986,61.86419
California,1987,64.30775
California,1988,68.54836
California,1989,73.17209
California,1990,80.30186
California,1991,82.25719
California,1992,83.87888
California,1993,85.36014
California,1994,86.84074
California,1995,88.60326
California,1996,90.44816
California,1997,91.93829
California,1998,93.19773
California,1999,94.88327
California,2000,97.53841
California,2001,101.3087
California,2002,104.8993
California,2003,108.9785
California,2016,134.8
California,2017,141.0
California,2019,137.7
California,2020,142.4
California,2021,142.2
California,2022,137.6
California,2023,138.5
Colorado,1960,12.97687
Colorado,1961,13.18297
Colorado,1962,13.5711
Colorado,1963,13.69782
Colorado,1964,14.11505
Colorado,1965,14.70169
Colorado,1966,15.54008
Colorado,1967,16.22523
Colorado,1968,17.13492
Colorado,1969,18.46808
Colorado,1970,19.79061
Colorado,1971,21.05329
Colorado,1972,22.12826
Colorado,1973,23.85503
Colorado,1974,26.44705
Colorado,1975,28.83574
Colorado,1976,30.41707
Colorado,1977,33.59472
Colorado,1978,36.88859
Colorado,1979,41.10965
Colorado,1980,46.16855
Colorado,1981,50.16126
Colorado,1982,52.59882
Colorado,1983,54.02843
Colorado,1984,55.70757
Colorado,1985,57.25904
Colorado,1986,58.08511
Colorado,1987,59.78113
Colorado,1988,62.04128
Colorado,1989,64.8596
Colorado,1990,68.16476
Colorado,1991,70.89867
Colorado,1992,73.07458
Colorado,1993,75.23672
Colorado,1994,77.38001
Colorado,1995,79.77552
Colorado,1996,81.73703
Colorado,1997,83.32491
Colorado,1998,86.55496
Colorado,1999,90.24516
Colorado,2000,94.98045
Colorado,2001,98.34116
Colorado,2002,101.2905
Colorado,2003,104.7614
Colorado,2016,102.1
Colorado,2017,102.3
Colorado,2019,104.8
Colorado,2020,104.2
Colorado,2021,105.3
Colorado,2022,104.6
Colorado,2023,105.1
Connecticut,1960,16.4005
Connecticut,1961,16.67257
Connecticut,1962,16.96555
Connecticut,1963,17.12922
Connecticut,1964,17.50367
